Results from 5x2 cross validation combined F test with seed: 10
Genome,Genome1,Genome2,Genome3,EA Fitness,Benchmark mean accuracy,Best Individual mean accuracy,F value
"[1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0
 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0]","[1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0
 1 1 1 0 0 0 1 1]",[1 0 0 0 0 1 0 1 0 1],[0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0],0.9828571428571429,96.48014735980352,96.85214899713466,0.8839477066370951
"[1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 0 1 0
 1 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 1 0]","[1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 0 1 0
 1 0 0 0 0 1 1 0]",[0 1 0 0 0 1 1 0 0 0],[1 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 1 0],0.9828571428571429,96.73794514940649,96.39484240687679,0.9472454878210598
"[1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 0
 1 0 0 0 1 0 1 0 0 0 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1]","[1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 0
 1 0 0 0 1 0 1 0]",[0 0 1 1 1 0 1 1 0 0],[1 1 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1],0.9828571428571429,96.50937372083504,96.6522308636922,5.2154313649453865
"[1 0 1 0 1 0 0 1 0 1 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 0
 1 1 1 0 1 0 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0]","[1 0 1 0 1 0 0 1 0 1 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 0
 1 1 1 0 1 0 1 0]",[1 1 1 0 1 0 0 1 0 1],[0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0],0.9828571428571429,96.45173966434712,96.99533360622186,2.3687112293417623
"[1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1
 0 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1]","[1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1
 0 1 0 1 1 1 1 0]",[0 1 1 1 1 1 0 1 1 1],[1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1],0.9828571428571429,96.59516987310684,96.65255832992223,1.8171130308103647
"[1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 1.
 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0.
 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0.]","[1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 1.
 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0.]",[0. 1. 0. 0. 0. 0. 1. 1. 0. 0.],[0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],0.9828571428571429,96.65264019647975,96.59484240687677,0.6366953328622886
"[1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1.
 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0.
 0. 1. 1. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1.
 0.]","[1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1.
 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0.]",[0. 1. 0. 0. 1. 1. 1. 1. 0. 1.],[0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0.],0.9828571428571429,96.53810888252148,96.70994678673763,1.0356631142234223
"[1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1.
 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1.
 0.]","[1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.]",[0. 1. 1. 0. 1. 1. 1. 1. 0. 1.],[0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0.],0.9828571428571429,96.68104789193615,96.28039295947606,2.171530701009832
"[1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 1. 1. 1. 0. 1. 1.
 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0.
 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1.
 0.]","[1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 0. 1. 1. 1. 0. 1. 1.
 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0.]",[1. 1. 0. 0. 1. 1. 1. 0. 0. 1.],[0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0.],0.9828571428571429,96.25247646336473,96.42308636921817,0.6344218845643613
"[1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1.
 0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1.
 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1.
 0.]","[1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1.
 0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]",[0. 1. 1. 0. 1. 0. 0. 0. 0. 1.],[1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0.],0.9828571428571429,96.39418747441668,96.65214899713467,2.198389066845888
